rule_id,Условие (как в жизни),Решение,Приоритет,Детерминированное или требует оценки,Комментарий / действие,В MVP,Основание / источник
R-12,"Экран ноутбука чёрный, но на внешнем мониторе изображение есть",Вывоз в мастерскую,2,Требует оценки,"Сохранить данные при возможности. Ноутбуки L2: проверить режим вывода, яркость, шлейф, матрицу и подсветку; не закрывать крышку с усилием.",Нет — справочник / после MVP,https://consumer.huawei.com/en/support/; https://www.honor.com/global/laptops/honor-magicbook-x16-pro-2024/spec/; https://support.apple.com/guide/macbook-air/welcome/mac; https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
R-13,"Батарея не заряжается, но ноутбук работает от штатного адаптера и батарея не вздута",Удалённо,2,Требует оценки,"Проверить источник питания, разъём, лимит заряда/оптимизацию и состояние батареи средствами ОС. При статусе Service/Replace или резком падении ёмкости — мастерская Ноутбуки L2.",Нет — справочник / после MVP,https://consumer.huawei.com/en/support/; https://support.apple.com/guide/macbook-air/welcome/mac; https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
R-14,"Корпус ноутбука разошёлся, тачпад поднялся или видны признаки вздутия батареи",Эскалация,1,Детерминированное,"Не заряжать, не давить на корпус и не прокалывать батарею. Вывести из эксплуатации и организовать безопасную замену аккумулятора.",Нет — справочник / после MVP,https://consumer.huawei.com/en/support/; https://www.honor.com/global/laptops/honor-magicbook-x16-pro-2024/spec/; https://support.apple.com/guide/macbook-air/welcome/mac; https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
R-15,"Ноутбук перегревается, вентилятор постоянно шумит или происходит аварийное выключение",Вывоз в мастерскую,2,Требует оценки,"Удалённо проверить нагрузку, обновления и вентиляционные отверстия. При повторном выключении — прекратить нагрузку; Ноутбуки L2: очистка охлаждения и диагностика вентилятора/термоинтерфейса.",Нет — справочник / после MVP,https://consumer.huawei.com/en/support/; https://www.honor.com/global/laptops/honor-magicbook-x16-pro-2024/spec/; https://support.apple.com/guide/macbook-air/welcome/mac; https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
R-16,"Wi‑Fi не работает только на одном ноутбуке, другие устройства сеть видят",Удалённо,3,Детерминированное,"Проверить авиарежим, забыть сеть, перезапустить адаптер, обновить драйвер/ОС и проверить другую сеть. Если модуль не определяется системой — мастерская.",Нет — справочник / после MVP,https://consumer.huawei.com/en/support/; https://www.honor.com/global/laptops/honor-magicbook-x16-pro-2024/spec/; https://support.apple.com/guide/macbook-air/welcome/mac; https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
R-17,Apple Diagnostics: PPFxxx (вентилятор) или MacBook выключается от перегрева,Вывоз в мастерскую,1,Детерминированное,"Не запускать тяжёлые задачи. Ноутбуки L3: проверить вентилятор, датчики и систему охлаждения; зафиксировать полный код PPF.",Нет — справочник / после MVP,https://support.apple.com/guide/macbook-air/welcome/mac
R-18,Apple Diagnostics: PPTxxx или macOS сообщает Service Recommended для батареи,Вывоз в мастерскую,2,Требует оценки,Сохранить код и состояние батареи. При PPT004/PPT006 либо вздутии — не эксплуатировать; выполнить сервисную замену батареи.,Нет — справочник / после MVP,https://support.apple.com/guide/macbook-air/welcome/mac
R-19,MacBook: мигающая папка с вопросом или запрещающий знак при загрузке,Удалённо,2,Требует оценки,"Запустить macOS Recovery, проверить загрузочный диск и Disk Utility, сохранить данные. Если диск не виден или восстановление не проходит — мастерская Ноутбуки L3.",Нет — справочник / после MVP,https://support.apple.com/guide/macbook-air/welcome/mac
R-20,"Windows: циклическая загрузка/BSOD после обновления, диск определяется в UEFI",Удалённо,2,Требует оценки,"Записать STOP-код, отключить периферию, использовать среду восстановления/безопасный режим и откат последнего обновления. Ошибки накопителя или памяти — мастерская.",Нет — справочник / после MVP,https://consumer.huawei.com/en/support/; https://www.honor.com/global/laptops/honor-magicbook-x16-pro-2024/spec/; https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
R-21,"Ноутбук падал, залит или имеет трещины корпуса/экрана",Вывоз в мастерскую,1,Детерминированное,При жидкости немедленно выключить и не сушить нагревом. Не включать для проверки; зафиксировать повреждение и передать Ноутбуки L3.,Нет — справочник / после MVP,https://consumer.huawei.com/en/support/; https://www.honor.com/global/laptops/honor-magicbook-x16-pro-2024/spec/; https://support.apple.com/guide/macbook-air/welcome/mac; https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
R-22,"Сервер сообщает отказ одного блока питания или потерю резервирования, нагрузка работает",Выезд инженера,1,Детерминированное,"Проверить BMC/SEL, ввод питания и кабель без отключения исправного БП. Подготовить совместимый модуль; замену hot-swap выполнять по документации Серверы L3.",Нет — справочник / после MVP,https://depo.ru/products/servers; https://yadro.com/ru/documentation/
R-23,"BMC/SEL: Fan Critical, Temperature Critical или сервер аварийно выключается",Эскалация,1,Детерминированное,"Снизить/остановить нагрузку по регламенту, проверить температуру помещения и воздушный поток. Не выполнять циклические перезапуски; срочно Серверы L3.",Нет — справочник / после MVP,https://depo.ru/products/servers; https://yadro.com/ru/documentation/
R-24,Повторяются корректируемые ECC-ошибки на одном DIMM или превышен порог BMC,Выезд инженера,1,Требует оценки,"Сохранить SEL и адрес DIMM, проверить firmware/совместимость. Серверы L3: диагностика и плановая замена модуля в окно обслуживания.",Нет — справочник / после MVP,https://depo.ru/products/servers; https://yadro.com/ru/documentation/
R-25,Uncorrectable ECC / Machine Check / память вывела сервер из работы,Эскалация,1,Детерминированное,"Не очищать журналы до выгрузки. Перевести сервис/нагрузку на резерв, остановить сервер по регламенту и привлечь Серверы L3.",Нет — справочник / после MVP,https://depo.ru/products/servers; https://yadro.com/ru/documentation/
R-26,"RAID Degraded: отказал один диск, массив и данные доступны",Выезд инженера,1,Детерминированное,"Сохранить лог контроллера, точно определить слот и состояние hot spare. Не извлекать диск по догадке; заменить совместимым и контролировать rebuild.",Нет — справочник / после MVP,https://depo.ru/products/servers; https://yadro.com/ru/documentation/
R-27,"RAID Offline, отказали два диска или rebuild завершился ошибкой",Эскалация,1,Детерминированное,"Прекратить изменения массива и повторные перестроения. Сохранить конфигурацию/логи, перевести сервис на резерв и передать Серверы L3/ответственному за данные.",Нет — справочник / после MVP,https://depo.ru/products/servers; https://yadro.com/ru/documentation/
R-28,Сервер не проходит POST или зависает до загрузки ОС,Выезд инженера,1,Требует оценки,"Зафиксировать POST-код, LED и BMC/SEL; отключать компоненты только в сервисное окно. Серверы L3: питание, память, процессор, системная плата.",Нет — справочник / после MVP,https://depo.ru/products/servers; https://yadro.com/ru/documentation/
R-29,"Один сетевой порт сервера Link Down, сервис доступен через резервный порт",Удалённо,2,Требует оценки,"Проверить switch-порт, VLAN, кабель/SFP, bonding и журналы ОС/BMC. Если замена кабеля/порта не помогает — выезд Серверы L2.",Нет — справочник / после MVP,https://depo.ru/products/servers; https://yadro.com/ru/documentation/
R-30,Интерактивная панель не включается и нет индикатора после проверки розетки и кабеля,Выезд инженера,1,Детерминированное,"Отключить на 2 минуты, проверить аппаратный выключатель и штатный кабель один раз. Если индикации нет — панели L3, диагностика БП/платы.",Нет — справочник / после MVP,https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/; https://www.foroffice.ru/products/description/209666.html; https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
R-31,"На панели «Нет сигнала», но встроенный Android/домашний экран работает",Удалённо,2,Детерминированное,"Выбрать правильный вход, переподключить HDMI/USB‑C, проверить кабель и выход ноутбука, снизить разрешение/частоту. При отказе всех входов — выезд.",Нет — справочник / после MVP,https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/; https://www.foroffice.ru/products/description/209666.html; https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
R-32,"Сенсор не работает только с внешним ПК, во встроенном Android работает",Удалённо,2,Детерминированное,"Подключить USB touch-кабель к тому же ПК, что даёт видео, проверить USB‑порт/драйвер и назначение входа. Аппарат панели исправен вероятнее всего.",Нет — справочник / после MVP,https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/; https://www.foroffice.ru/products/description/209666.html; https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
R-33,"Сенсор не работает ни во встроенной системе, ни с внешним ПК",Выезд инженера,2,Детерминированное,"Перезапустить панель и убрать лишние USB-устройства. При сохранении — Интерактивные панели L3: контроллер touch, питание, рамка/шлейф.",Нет — справочник / после MVP,https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/; https://www.foroffice.ru/products/description/209666.html; https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
R-34,"Касание смещено, срабатывает на соседнем экране или неверной точке",Удалённо,3,Детерминированное,"Проверить масштаб 100%, расположение дисплеев и выполнить штатную калибровку. Для нескольких экранов назначить сенсор нужному дисплею.",Нет — справочник / после MVP,https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/; https://www.foroffice.ru/products/description/209666.html; https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
R-35,"OPS/встроенный ПК панели не загружается, но Android и экран работают",Удалённо,2,Требует оценки,"Выбрать OPS-вход, выполнить один штатный перезапуск, отключить периферию. Если нет POST/изображения — выезд Интерактивные панели L3, модуль OPS не вскрывать на месте без допуска.",Нет — справочник / после MVP,https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/; https://www.foroffice.ru/products/description/209666.html; https://newlineinteractive.freshdesk.com/support/solutions/articles/8000104219-z-series
R-36,Сканер дал разовое замятие или захватил два листа,Удалённо,3,Детерминированное,"Удалить документы по инструкции, распушить пачку, убрать скобы, выровнять направляющие, очистить доступные ролики и проверить 10 листов.",Да — rule engine; RAG-корпус после MVP,https://elar.ru/press-center/news/elar-predstavlyaet-skamaks-1000-2000-rossiyskiy-potokovyy-skaner-dlya-vysokoproizvoditelnoy-otsifrov/; https://www.avision.com/en/shop/document-scanner/ad545g-series/ad545gn/
R-37,Замятие/мультиподача повторяется на чистой однородной пачке,Выезд инженера,2,Детерминированное,"Зафиксировать участок остановки и счётчик роликов. Сканеры L2: проверить ролики подачи/разделения, датчики и ультразвуковой контроль двойного листа.",Да — rule engine; RAG-корпус после MVP,https://elar.ru/press-center/news/elar-predstavlyaet-skamaks-1000-2000-rossiyskiy-potokovyy-skaner-dlya-vysokoproizvoditelnoy-otsifrov/; https://www.avision.com/en/shop/document-scanner/ad545g-series/ad545gn/
R-38,Avision: 2013/2014/3101/3205 либо устойчивое сообщение Jam/Multifeed/Sensor,Выезд инженера,2,Детерминированное,"Очистить тракт и датчики только по пользовательской инструкции. Если код возвращается без бумаги — Сканеры L2, диагностика датчика/роликов/привода.",Да — rule engine; RAG-корпус после MVP,https://www.avision.com/en/shop/document-scanner/ad545g-series/ad545gn/
R-39,"На сканах вертикальные полосы, пятна или фон при исправном оригинале",Удалённо,3,Детерминированное,"Очистить стекло, узкие полосы ADF и белую калибровочную область без абразивов, затем выполнить штатную калибровку. Повтор — выезд.",Да — rule engine; RAG-корпус после MVP,https://elar.ru/press-center/news/elar-predstavlyaet-skamaks-1000-2000-rossiyskiy-potokovyy-skaner-dlya-vysokoproizvoditelnoy-otsifrov/; https://www.avision.com/en/shop/document-scanner/ad545g-series/ad545gn/
R-40,"Avision: 2024/3003/2037/3006 либо не запускаются лампа, двигатель или ADF",Выезд инженера,1,Детерминированное,"Перезапустить один раз и проверить блокировки. При повторе не продолжать сканирование; Сканеры L2, вероятны лампа, двигатель, ADF или плата.",Да — rule engine; RAG-корпус после MVP,https://www.avision.com/en/shop/document-scanner/ad545g-series/ad545gn/
R-41,ВКС-камера не определяется приложением или нет видео,Удалённо,2,Требует оценки,"Проверить питание, USB/сеть, выбранную камеру, занятость другим приложением и приватность ОС; переподключить напрямую. Если устройство не определяется на другом ПК — выезд ВКС L2.",Нет — справочник / после MVP,https://support.yealink.com/document-detail/7bab9c265b38416eb9527a3e48841180; https://support.yealink.com/; https://trueconf.com/support.html; https://iva.ru/docs/index.html
R-42,"В конференции нет звука, неверный микрофон или сильное эхо",Удалённо,2,Детерминированное,"Выбрать нужные устройства ввода/вывода, снять mute, проверить уровни и запретить одновременный звук с двух устройств в комнате; выполнить тестовый звонок.",Нет — справочник / после MVP,https://support.yealink.com/document-detail/7bab9c265b38416eb9527a3e48841180; https://trueconf.com/support.html; https://iva.ru/docs/index.html
R-43,"Терминал не регистрируется, звонок не устанавливается или связь обрывается у всех участников площадки",Удалённо,1,Требует оценки,"Проверить интернет, DNS/NTP, адрес сервера, учётную запись, firewall/NAT и сертификат; собрать журналы. Общий сетевой отказ — эскалация сетевой команде.",Нет — справочник / после MVP,https://support.yealink.com/; https://trueconf.com/support.html; https://iva.ru/docs/index.html
R-44,После обновления firmware ВКС устройство не загружается или обновление завершилось ошибкой,Эскалация,1,Детерминированное,"Не выключать питание во время активного обновления и не повторять прошивку случайным файлом. Зафиксировать версию/лог, применить только официальную процедуру восстановления.",Нет — справочник / после MVP,https://support.yealink.com/document-detail/7bab9c265b38416eb9527a3e48841180; https://support.yealink.com/
R-45,"TrueConf/IVA: ошибка входа, лицензии, сертификата, публикации сервиса или подключения клиента",Удалённо,2,Требует оценки,"Проверить время, URL, DNS, сертификат, срок/состояние лицензии, доступность сервиса и учётную запись. Серверные логи передать ВКС L2; вопрос лицензии — владельцу договора.",Нет — справочник / после MVP,https://trueconf.com/support.html; https://iva.ru/docs/index.html
R-46,"Не удаётся демонстрация экрана, но аудио и видео работают",Удалённо,3,Детерминированное,"Проверить разрешение на запись экрана/захват, выбранное окно, права организатора, доступность канала и обновление клиента; выполнить тест без VPN.",Нет — справочник / после MVP,https://support.yealink.com/; https://trueconf.com/support.html; https://iva.ru/docs/index.html
