error_code,model_id или Все,Расшифровка,Вероятная причина,Решается удалённо?,Требуемая компетенция,Типовая запчасть,Что делать,Источник / руководство
Call service 0120,MOD-005,Некорректные данные MAC-адреса,Повреждение данных flash или главной платы,Нет,Принтеры L3,Главная плата,Проверить сетевую конфигурацию и firmware; при повторе требуется восстановление данных/замена платы.,https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7
Paper jam,MOD-005,Замятие бумаги,"Бумага, ролики, датчик или направляющие",Зависит,Принтеры L1,Ролики подачи / датчик,"Удалить лист из указанной зоны, проверить обрывки и правильность загрузки. При повторе проверить ролики и датчики.",https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7
Add toner / Replace toner,MOD-005,Закончился тонер,Контейнер пуст или установлен неправильно,Да,Принтеры L1,Тонер-контейнер,Переустановить контейнер и при необходимости заменить на совместимый с P2040dn.,https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7
Replace MK,MOD-005,Требуется комплект обслуживания,Достигнут ресурс maintenance kit,Нет,Принтеры L2,Maintenance Kit,Заменить комплект обслуживания и сбросить его счётчик по сервисной инструкции.,https://www.kyoceradocumentsolutions.com/support_product/model_en.html?m=117&p=21&r=1&s=7
SYM-POWER,MOD-006,Ноутбук не включается,"Разряжен аккумулятор, адаптер/порт USB-C или цепь питания",Зависит,Ноутбуки L2,Адаптер / аккумулятор / системная плата,"Подключить штатный адаптер на 30 минут, проверить индикацию и розетку, удержать питание более 10 секунд. Без реакции — сервис.",https://consumer.huawei.com/en/support/content/en-us00748230/
SYM-BLACK-HALL,MOD-006,Экран гаснет рядом с чехлом/магнитом,Магнит воздействует на датчик Холла,Да,Диагностика ПО,,Убрать магнитный чехол/предмет из-под ноутбука и проверить работу в другом месте.,https://consumer.huawei.com/en/support/content/en-us00748230/
SYM-BLACK-BOOT,MOD-006,Чёрный экран при загрузке,"Сбой Windows/видеодрайвера, дисплей или плата",Зависит,Ноутбуки L2,Дисплей / шлейф / системная плата,"Выполнить принудительное выключение, отключить периферию, проверить внешний монитор и среду восстановления. Если изображения нет нигде — сервис.",https://consumer.huawei.com/en/support/content/en-us00748230/
SYM-NO-CHARGE,MOD-006,Аккумулятор не заряжается,"Адаптер, кабель, разъём, контроллер или батарея",Зависит,Ноутбуки L2,Адаптер / аккумулятор,"Проверить штатный БП и кабель, другой порт/розетку, статус в PC Manager. При устойчивой ошибке — диагностика батареи и питания.",https://consumer.huawei.com/en/support/content/en-us00748230/
SYM-OVERHEAT,MOD-006,"Перегрев, шум вентилятора, снижение частоты","Пыль, перекрытая вентиляция, высокая нагрузка или отказ вентилятора",Зависит,Ноутбуки L2,Вентилятор / термоинтерфейс,"Поставить на твёрдую поверхность, очистить внешние решётки, проверить процессы и обновления. При шуме/остановке вентилятора — сервис.",https://consumer.huawei.com/en/support/content/en-us00748230/
SYM-WIFI,MOD-006,Wi‑Fi отсутствует или часто разрывается,"Драйвер, настройки питания, роутер или модуль",Да,Диагностика ПО,Wi‑Fi модуль,"Перезапустить роутер и ПК, забыть сеть, обновить драйвер через PC Manager; проверить другую сеть. Если адаптер не определяется — сервис.",https://consumer.huawei.com/en/support/content/en-us00748230/
SYM-POWER,MOD-007,Ноутбук не включается,"Нет питания, разряжена батарея, адаптер или системная плата",Зависит,Ноутбуки L2,Адаптер / аккумулятор / системная плата,"Проверить розетку и штатный адаптер, зарядить 30 минут, удержать кнопку питания 10–15 секунд. Без индикации — сервис.",https://www.honor.com/global/support/content/en-us15825200/
SYM-BLACK-BOOT,MOD-007,Чёрный экран при запуске,"Сбой обновления/драйвера, дисплей или системная плата",Зависит,Ноутбуки L2,Дисплей / шлейф,"Отключить периферию, выполнить принудительную перезагрузку, войти в Recovery/Safe Mode. Проверить внешний монитор.",https://www.honor.com/global/support/content/en-us15825200/
SYM-NO-CHARGE,MOD-007,Батарея не заряжается,"Блок питания, кабель USB‑C, разъём или батарея",Зависит,Ноутбуки L2,Адаптер / аккумулятор,Проверить оригинальный адаптер/кабель и температуру устройства; обновить BIOS/драйверы. При повторе — тест батареи и цепи питания.,https://www.honor.com/global/support/content/en-us15825200/
SYM-INPUT,MOD-007,Не работает клавиатура или тачпад,"Драйвер, блокировка, шлейф или залитие",Зависит,Ноутбуки L2,Клавиатура / тачпад,"Перезагрузить, проверить в BIOS и обновить драйверы. Если не работает уже в BIOS или было залитие — сервис.",https://www.honor.com/global/support/content/en-us15825200/
SYM-OVERHEAT,MOD-007,Перегрев/аварийное выключение,"Пыль, высокая нагрузка, неисправный вентилятор",Зависит,Ноутбуки L2,Вентилятор / термоинтерфейс,"Освободить вентиляцию, проверить нагрузку и режим питания. При повторном выключении или отсутствии вращения вентилятора — сервис.",https://www.honor.com/global/support/content/en-us15825200/
SYM-WIFI,MOD-007,Нет Wi‑Fi/Bluetooth,"Драйвер, авиарежим, ОС или беспроводной модуль",Да,Диагностика ПО,Wi‑Fi модуль,"Проверить авиарежим и Диспетчер устройств, обновить драйвер, выполнить сброс сети. Если модуль не виден в BIOS/ОС — сервис.",https://www.honor.com/global/support/content/en-us15825200/
PPT001,MOD-008,Аккумулятор не обнаружен,Батарея или её подключение,Нет,Ноутбуки L2,Аккумулятор,Повторить Apple Diagnostics без периферии; если код сохраняется — сервисная проверка батареи и платы.,https://support.apple.com/en-gb/102550
PPT004,MOD-008,Аккумулятор требует обслуживания,Износ или неисправность батареи,Нет,Ноутбуки L2,Аккумулятор,"Сохранить данные, проверить состояние аккумулятора в macOS и обратиться в сервис для замены.",https://support.apple.com/en-gb/102550
PPF001 / PPF003 / PPF004,MOD-008,Ошибка вентилятора,Вентилятор не вращается или работает вне нормы,Нет,Ноутбуки L2,Вентилятор / системная плата,"Выключить Mac, не нагружать устройство и передать в сервис; продолжительная работа может вызвать перегрев.",https://support.apple.com/en-gb/102550
NDC001–NDC006,MOD-008,Ошибка встроенной камеры,"Камера, шлейф или системная плата",Нет,Ноутбуки L2,Камера / дисплейный модуль,Повторить диагностику без периферии и проверить разрешения камеры. При сохранении кода — сервис.,https://support.apple.com/en-gb/102550
NDK001–NDK004,MOD-008,Ошибка клавиатуры,Клавиатура или её подключение,Нет,Ноутбуки L2,Клавиатура / Top Case,Повторить диагностику; проверить клавиши на загрязнение/залитие. При сохранении кода — сервис.,https://support.apple.com/en-gb/102550
NDR001–NDR004,MOD-008,Ошибка трекпада,"Трекпад, шлейф или аккумулятор с деформацией",Нет,Ноутбуки L2,Трекпад / Top Case,Повторить диагностику. При тугом нажатии/вздутии корпуса выключить устройство и срочно передать в сервис.,https://support.apple.com/en-gb/102550
CNW001–CNW006,MOD-008,Ошибка оборудования Wi‑Fi,Беспроводной модуль/плата,Зависит,Ноутбуки L2,Системная плата,Повторить диагностику рядом с исправной сетью; обновить macOS. Если код повторяется — сервис.,https://support.apple.com/en-gb/102550
Flashing folder ?,MOD-008,Не найден загрузочный диск или рабочая macOS,Повреждение файловой системы/ОС либо SSD,Зависит,Диагностика ПО,Системная плата / SSD,"Запустить macOS Recovery, проверить диск в Disk Utility, восстановить из резервной копии или переустановить macOS.",https://support.apple.com/en-gb/102550
Prohibitory symbol,MOD-008,Установленная macOS несовместима с Mac,Неподходящая версия/сборка macOS,Да,Диагностика ПО,,"Запустить Recovery, проверить диск и переустановить совместимую версию macOS.",https://support.apple.com/en-gb/102550
SYM-NO-POWER,MOD-009,Нет включения и индикации,"Адаптер, батарея, разъём или системная плата",Зависит,Ноутбуки L2,Адаптер / аккумулятор / системная плата,"Проверить USB‑C БП и розетку, отключить периферию, выполнить аварийный сброс через отверстие Novo/Emergency reset при наличии.",https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
SYM-BLACK,MOD-009,"Питание есть, изображения нет","Сон/видеодрайвер, дисплей, RAM или плата",Зависит,Ноутбуки L2,Дисплей / шлейф / системная плата,"Увеличить яркость, выполнить Win+Ctrl+Shift+B, проверить внешний монитор и диагностику Lenovo. Если нет POST — сервис.",https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
Boot device not found,MOD-009,Не найден загрузочный накопитель,"SSD не определяется, нарушен порядок загрузки или ОС",Зависит,Диагностика ПО,SSD,Проверить наличие SSD в UEFI и Boot Order. Если SSD виден — восстановить загрузчик; если не виден — сервис/замена накопителя.,https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
Fan error / Thermal shutdown,MOD-009,Ошибка вентилятора или перегрев,"Пыль, отказ вентилятора, термоинтерфейс",Нет,Ноутбуки L2,Вентилятор / термоинтерфейс,"Выключить, не продолжать нагрузку. Проверить вентиляцию и вентилятор, очистить систему охлаждения.",https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
SYM-NO-CHARGE,MOD-009,Аккумулятор не заряжается,"БП, режим сохранения батареи, разъём или батарея",Да,Диагностика ПО,Адаптер / аккумулятор,"Проверить Lenovo Vantage (Conservation Mode), штатный БП, кабель и BIOS/драйверы; затем аппаратная диагностика.",https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
SYM-WIFI,MOD-009,Wi‑Fi не определяется,"Драйвер, авиарежим, UEFI или модуль",Да,Диагностика ПО,Wi‑Fi модуль,"Проверить авиарежим/UEFI, переустановить драйвер с Lenovo Support, выполнить сетевой сброс; если устройства нет — сервис.",https://download.lenovo.com/pccbbs/pubs/thinkbook_16_14_g7plus/index_en.html
SEL/BMC: PSU Fault,MOD-010,Отказ или потеря резервирования блока питания,"БП, кабель, ввод питания или backplane",Зависит,Серверы L2,Блок питания,"Проверить BMC/SEL и индикатор конкретного БП, оба ввода и кабели. Если fault остаётся — горячая замена по правилам модели.",https://depo.ru/products/servers
SEL/BMC: Fan Critical,MOD-010,Вентилятор остановлен или ниже порога,"Вентилятор, разъём, засорение или контроллер",Нет,Серверы L2,Модуль вентилятора,"Проверить номер вентилятора в BMC, температуру и препятствия; заменить модуль, не оставляя сервер без охлаждения.",https://depo.ru/products/servers
SEL/BMC: Temperature Critical,MOD-010,Критическая температура,"Отказ охлаждения, высокая температура в стойке или засорение",Зависит,Серверы L2,Вентилятор / радиатор,"Снизить нагрузку, проверить температуру входящего воздуха, вентиляторы и воздушный поток. При росте температуры корректно выключить.",https://depo.ru/products/servers
SEL: Memory ECC Uncorrectable,MOD-010,Неисправимая ошибка памяти,"DIMM, слот или контроллер памяти",Нет,Серверы L2,Модуль DIMM,"По SEL определить CPU/канал/DIMM, вывести узел из нагрузки, запустить диагностику и заменить модуль по матрице совместимости.",https://depo.ru/products/servers
RAID: Degraded,MOD-010,RAID-массив деградирован,Один или несколько дисков вышли из строя,Зависит,Серверы L2,HDD/SSD,"Проверить резервную копию, определить диск только средствами RAID/BMC, заменить на совместимый и контролировать rebuild. Не вынимать диски наугад.",https://depo.ru/products/servers
POST/Boot failure,MOD-010,Сервер не проходит POST или не загружает ОС,"DIMM/CPU/PCIe, boot order, RAID или firmware",Зависит,Серверы L2,Зависит от SEL/POST,"Снять POST/SEL-коды и конфигурацию, отключить недавние изменения, проверить Boot Order/RAID. Дальше действовать по РЭ точной модели.",https://depo.ru/products/servers
NIC Link Down,MOD-010,Нет линка сетевого интерфейса,"Кабель/SFP, порт коммутатора, драйвер или NIC",Да,Диагностика ПО,NIC / SFP,"Проверить физический линк, кабель/SFP и порт коммутатора, затем настройки скорости/VLAN/драйвера; переставить на заведомо исправный порт.",https://depo.ru/products/servers
SEL/BMC: PSU Fault,MOD-011,Отказ или потеря резервирования блока питания,"БП, кабель, ввод питания или backplane",Зависит,Серверы L2,Блок питания,"Проверить BMC/SEL и индикатор конкретного БП, оба ввода и кабели. Если fault остаётся — горячая замена по правилам модели.",https://yadro.com/ru/documentation/
SEL/BMC: Fan Critical,MOD-011,Вентилятор остановлен или ниже порога,"Вентилятор, разъём, засорение или контроллер",Нет,Серверы L2,Модуль вентилятора,"Проверить номер вентилятора в BMC, температуру и препятствия; заменить модуль, не оставляя сервер без охлаждения.",https://yadro.com/ru/documentation/
SEL/BMC: Temperature Critical,MOD-011,Критическая температура,"Отказ охлаждения, высокая температура в стойке или засорение",Зависит,Серверы L2,Вентилятор / радиатор,"Снизить нагрузку, проверить температуру входящего воздуха, вентиляторы и воздушный поток. При росте температуры корректно выключить.",https://yadro.com/ru/documentation/
SEL: Memory ECC Uncorrectable,MOD-011,Неисправимая ошибка памяти,"DIMM, слот или контроллер памяти",Нет,Серверы L2,Модуль DIMM,"По SEL определить CPU/канал/DIMM, вывести узел из нагрузки, запустить диагностику и заменить модуль по матрице совместимости.",https://yadro.com/ru/documentation/
RAID: Degraded,MOD-011,RAID-массив деградирован,Один или несколько дисков вышли из строя,Зависит,Серверы L2,HDD/SSD,"Проверить резервную копию, определить диск только средствами RAID/BMC, заменить на совместимый и контролировать rebuild. Не вынимать диски наугад.",https://yadro.com/ru/documentation/
POST/Boot failure,MOD-011,Сервер не проходит POST или не загружает ОС,"DIMM/CPU/PCIe, boot order, RAID или firmware",Зависит,Серверы L2,Зависит от SEL/POST,"Снять POST/SEL-коды и конфигурацию, отключить недавние изменения, проверить Boot Order/RAID. Дальше действовать по РЭ точной модели.",https://yadro.com/ru/documentation/
NIC Link Down,MOD-011,Нет линка сетевого интерфейса,"Кабель/SFP, порт коммутатора, драйвер или NIC",Да,Диагностика ПО,NIC / SFP,"Проверить физический линк, кабель/SFP и порт коммутатора, затем настройки скорости/VLAN/драйвера; переставить на заведомо исправный порт.",https://yadro.com/ru/documentation/
SYM-NO-POWER,MOD-012,Панель не включается,"Нет питания, выключен главный выключатель, БП или плата",Зависит,Интерактивные панели L2,Блок питания,"Проверить розетку, кабель, главный выключатель и индикатор; отключить на 1 минуту. Без индикации — сервис.",https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/
SYM-NO-SIGNAL,MOD-012,Нет изображения / No signal,"Выбран неверный вход, кабель/источник неактивен",Да,Диагностика ПО,HDMI/USB-C кабель,"Выбрать правильный Source, проверить другой кабель и вход, включить дублирование экрана и поддерживаемое разрешение.",https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/
SYM-NO-TOUCH,MOD-012,"Изображение есть, касания не работают","Не подключён USB Touch, драйвер, источник или сенсор",Зависит,Интерактивные панели L2,USB-кабель / сенсорный модуль,"Для внешнего ПК подключить USB Touch к тому же источнику, сменить порт/кабель, перезапустить панель. Проверить касания в Android.",https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/
SYM-TOUCH-OFFSET,MOD-012,Касание смещено или срабатывает неверно,"Нужна калибровка, масштабирование ОС или загрязнение рамки",Да,Диагностика ПО,ИК-рамка / сенсор,"Очистить рамку, установить масштаб 100% и штатное разрешение, выполнить калибровку. При локальной мёртвой зоне — сервис.",https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/
SYM-NO-SOUND,MOD-012,Нет звука,"Mute, выбран другой выход, кабель или динамики",Да,Диагностика ПО,Динамики / аудиоплата,"Снять mute на панели и ПК, выбрать панель как HDMI/USB‑C output, проверить громкость и другой источник.",https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/
SYM-OPS-BOOT,MOD-012,OPS-модуль не загружается/не определяется,"Питание OPS, неплотная установка, SSD/RAM или ОС",Зависит,Интерактивные панели L2,OPS-модуль / SSD / RAM,"Выключить и обесточить панель, переустановить OPS по инструкции; проверить выбранный источник. Затем диагностика SSD/RAM/ОС.",https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/
SYM-WIFI,MOD-012,Нет сети/Wi‑Fi,"Антенны, настройки, время, DHCP или модуль",Да,Диагностика ПО,Wi‑Fi модуль / антенны,"Проверить антенны, SSID/пароль, DHCP, дату/время и другую сеть; обновить firmware. Если адаптер отсутствует — сервис.",https://www.citilink.ru/product/panel-interakt-nextouch-nextpanel-75-ifpcv1int75-75-ir-android-8-0-4k-1774416/documents/
SYM-NO-POWER,MOD-013,Панель не включается,"Нет питания, выключен главный выключатель, БП или плата",Зависит,Интерактивные панели L2,Блок питания,"Проверить розетку, кабель, главный выключатель и индикатор; отключить на 1 минуту. Без индикации — сервис.",https://www.foroffice.ru/products/description/209666.html
