rule_id,Условие,Результат,Кто определяет,На каком этапе,Комментарий,Статус / граница MVP
W-11,"Дата продажи + 12 мес не истекла, но не соблюдались сроки профилактического обслуживания",Гарантия НЕ применяется (ремонт платный),Инженер при диагностике,После диагностики,Несоблюдение регламентного ТО — основание для отказа.,Вне MVP: определяется инженером после физической диагностики
W-12,"Дата продажи + 12 мес не истекла, но оборудование модифицировано или используются детали/ПО, не одобренные производителем",Гарантия НЕ применяется (ремонт платный),Инженер при диагностике,После диагностики,Модификация оборудования и использование неодобренных комплектующих исключает гарантию.,Вне MVP: определяется инженером после физической диагностики
W-13,"Дата продажи + 12 мес не истекла, но поломка произошла из-за стихийного бедствия (пожар, наводнение, молния и т.п.)",Гарантия НЕ применяется (ремонт платный),Инженер при диагностике,После диагностики,Форс-мажорные обстоятельства не покрываются гарантией.,Вне MVP: определяется инженером после физической диагностики
W-14,"Гарантийный срок истек, но есть платный сервисный контракт (SLA)","Ремонт по SLA (бесплатно для клиента, оплачивает сервисная организация по договору)",Система автоматически,При регистрации обращения,Отдельный сервисный договор покрывает ремонт после окончания гарантии.,MVP: автоматически по активному сервисному договору
W-15,"Гарантийный срок истек, сервисного контракта нет",Платный ремонт,Система автоматически,При регистрации обращения,Стандартный платный ремонт.,MVP: автоматически при отсутствии гарантии и сервисного договора
W-16,По серийному номеру обнаружена ранее выполненная замена оборудования по гарантии с перезапуском гарантийного срока (доп. 12 мес на новое устройство),Гарантийный (срок считается заново),Система автоматически,При регистрации обращения,В некоторых случаях при замене дефектного оборудования по гарантии на новое — гарантия на заменённое устройство начинается заново. Система отслеживает это по актам замены.,MVP: автоматически по истории замены/новому гарантийному сроку
W-17,"Оборудование числится в чёрном списке (украдено, утилизировано, списано)",Гарантия НЕ применяется (ремонт невозможен),Система автоматически,При регистрации обращения,По серийному номеру проверяется статус в реестре. Если оборудование в розыске или списано — ремонт не производится даже за деньги.,MVP: автоматически по статусу оборудования
W-18,У клиента оформлена платная расширенная гарантия (дополнительный год/два) на данное оборудование,Гарантийный (срок продлевается на период действия расширенной гарантии),Система автоматически,При регистрации обращения,Расширенная гарантия оформляется отдельным договором. Система сверяет серийный номер с активированным сертификатом расширенной гарантии.,MVP: автоматически по активной расширенной гарантии
W-19,"Оборудование ранее было признано негарантийным (например, по W-02 или W-03) и ремонтировалось платно, при этом гарантия производителя аннулирована навсегда",Гарантия НЕ применяется (все последующие ремонты — только платные),Система автоматически,При регистрации обращения,"Если в карточке оборудования есть отметка о нарушении гарантии (использование неоригинальных расходников, залитие и т.п.), то даже если формально срок ещё не истёк, производитель больше не принимает такое устройство по гарантии. Система помнит эту отметку.",MVP: автоматически по сохранённому признаку аннулирования гарантии
W-20,"Модель оборудования входит в перечень акционных позиций, для которых гарантия сокращена до 6 мес вместо стандартных 12 (по условиям распродажи)",Срок гарантии считается 6 мес от даты продажи (или иная сокращённая продолжительность),Система автоматически,При регистрации обращения,"Крупные сети (Комус, DNS) иногда продают технику с уценённой гарантией в рамках акций. Условия фиксируются в договоре купли-продажи, и система должна проверять эту категорию по каталогу.",MVP: автоматически по условиям продажи/каталогу
